vencimento;descricao;centro_custo;valor;categoria_id;observacoes
2023-01-10;CHEQUE NIVALDO 238;FM;1900.0;
2023-01-10;CARTÃO VISA GOLD;PESSOAL;3903.41;
2023-01-10;EMBULED 2/5 - 11595;ML;1207.73;
2023-01-10;BRONZEARTE 56222 04/06;FM;865.83;
2023-01-10;ARMARINHO 189028 2/5;FM;1422.95;
2023-01-10;VANCOUVER (CANADÁ SEGURANÇA);FM;250.0;
2023-01-10;SORTE LUZ 38843 3/6;FM;1807.46;
2023-01-10;ONNEWEB;FM;200.0;
2023-01-10;CONDOMINIO SR FERNANDO;PESSOAL;1499.14;
2023-01-10;TOP SAT;PESSOAL;50.0;
2023-01-10;RECARGA GABRIEL;FM;40.0;
2023-01-10;BRONZEARTE 557432 4/5;FM;717.6;
2023-01-12;HOLANDAS PRIME DUPLICATA;FM;167.5;
2023-01-12;JOANA;PESSOAL;3965.0;
2023-01-12;ASSESSORIA JURITICA;FM / ML;1000.0;
2023-01-12;GOOGLE, INSTAGRAM E FACEBOOK;FM;850.0;
2023-01-12;BLUMENAU 8/9;ML;757.31;
2023-01-12;HOLANDAS PRIME DUPLICATA;FM;167.5;
2023-01-12;JOANA;PESSOAL;3965.0;
2023-01-12;ASSESSORIA JURITICA;FM / ML;1000.0;
2023-01-12;GOOGLE, INSTAGRAM E FACEBOOK;FM;850.0;
2023-01-12;BLUMENAU 8/9;ML;757.31;
2023-01-13;BRONZEARTE 557432 04/05;ML;717.6;
2023-01-13;COMERCIO ELETRICA 122 2/7;ML;565.71;
2023-01-13;OESTE COMERCIO 122 2/7;ML;834.29;
2023-01-13;KIAN Nº 1278071 6/6;FM;1691.86;
2023-01-14;CAGEPA TORRE;ML;176.48;
2023-01-14;CAGEPA MANAIRA;FM;160.0;
2023-01-15;GONDIM - LIMPEZA DE SERVIÇO;FM;70.0;
2023-01-15;VIVO FIXO;FM;250.0;
2023-01-15;ITAU D.ROSA;PESSOAL;910.3;
2023-01-16;MARAJA 438561;FM;153.55;
2023-01-16;ENERGIA TORRE;ML;88.25;
2023-01-16;MARTINS Nº 3.821.426 5/5;FM;851.31;
2023-01-16;SEGURO STRADA 3/5;FM;412.58;
2023-01-16;DAR;FM;1042.33;
2023-01-16;DAR;ML;769.84;
2023-01-13;RESCISAO TABATHA;ML;3639.04;
2023-01-15;BANCO DO NORDESTE 25/57;FM;973.37;
2023-01-16;DAR;FM;7504.85;
2023-01-16;DAR;ML;5609.68;
2023-01-13;RESCISAO TABATHA;ML;3639.04;
2023-01-13;FGTS - RESCISAO TABATHA;ML;2898.52;
2023-01-13;EMPRESTIMO SICREDI 14/44;FM;3272.72;
2023-01-13;TRANSFERENCIA P/ SR FERNANDO;PESSOAL;29500.0;
2023-01-13;PASSAGEM E ALMOÇO FUNCIONARIOS;FM/ML;907.8;
2023-01-14;SORTE LUZ 39396 1/3;FM;1502.39;
2023-01-15;MP COMERCIO 2/6;FM;1378.74;
2023-01-15;BANCO DO NORDESTE 25/57;FM;973.37;
2023-01-15;CONDOMINIO PRISCYLLA;PESSOAL;1093.1;
2023-01-15;NET FERNANDINHO;PESSOAL;112.31;
2023-01-15;DIVULGAÇÃO NO INSTAGRAM;ML;200.0;
2023-01-15;BANCO DO NORDESTE 25/57;FM;1200.0;
2023-01-16;DAR;FM;7504.85;
2023-01-16;DAR;ML;5609.68;
2023-01-18;PORTO LED 1101 3/3;FM;808.67;
2022-01-19;PLUZIE 3/3;ML;1136.91;
